"Категория";"URL категории";"Товар";"Вариант";"Описание";"Цена";"URL";"Изображение";"Артикул";"Количество";"Активность";"Заголовок [SEO]";"Ключевые слова [SEO]";"Описание [SEO]";"Старая цена";"Рекомендуемый";"Новый";"Сортировка";"Вес";"Связанные артикулы";"Смежные категории";"Ссылка на товар";"Валюта";"Свойства";"id";
"Катушки/Безынерционные";"bobbins/instantaneous";"Катушка Teben TNR300";;"<p>	Безынерционная спиннинговая катушка Teben с алюминиевой шпулей и задним фрикционом. Корпус катушки выполнен из легкого, устойчивого ко внешним воздействиям ударопрочного графитового полимера с напылением из титана. Мощный привод, оборудованный для высокого сопротивления. Все внутренние силовые агрегаты катушки выполнены из металла, а бронзовые шестерни трансмиссии придают надежность внутреннему механизму. Переставляющая вправо/влево алюминиевая силовая CNC ручка. Катушка оснащена системами антизакручивания лески и оптимизирована для точных и далеких забросов. Прекрасно подойдёт для спиннинговой ловли.</p><p>	<strong>Производитель</strong>: Teben<br />	<strong>Подшипники</strong>: 9+1<br />	<strong>Передаточное число</strong>: 5,1:1<br />	Антивибрационная система<br />	Облегченная алюминиевая Long Cast шпуля;<br />	Запасная графитовая шпуля</p>";"970";"katushka-teben-tnr300";"no-img.jpg";"CN54";"-1";"1";"Купить Катушка Teben TNR300 у нас в интернет-магазине YURAN по низкой цене и доставкой в любые регионы";"Катушка Teben TNR300 купить, CN54, Катушка, Teben, TNR300";"Безынерционная спиннинговая катушка Teben с алюминиевой шпулей и задним фрикционом. Корпус катушки выполнен из легкого, устойчивого ко внешним воздействиям ударопрочного графитового полимера с напылением из титана";;"0";"0";"56";0,311;"";2;;RUR;"Фрикцион=[type=assortmentCheckBox value=Задний product_margin=Задний|Передний]";54;
"Катушки/Безынерционные";"bobbins/instantaneous";"Катушка Teben TNR200";;"<p>	Безынерционная спиннинговая катушка Teben с алюминиевой шпулей и задним фрикционом. Корпус катушки выполнен из легкого, устойчивого ко внешним воздействиям ударопрочного графитового полимера с напылением из титана. Мощный привод, оборудованный для высокого сопротивления. Все внутренние силовые агрегаты катушки выполнены из металла, а бронзовые шестерни трансмиссии придают надежность внутреннему механизму. Переставляющая вправо/влево алюминиевая силовая CNC ручка. Катушка оснащена системами антизакручивания лески и оптимизирована для точных и далеких забросов. Прекрасно подойдёт для спиннинговой ловли.</p><p>	<strong>Производитель</strong>: Teben<br />	<strong>Подшипники</strong>: 9+1<br />	<strong>Передаточное число</strong>: 5,1:1<br />	Антивибрационная система<br />	Облегченная алюминиевая Long Cast шпуля;<br />	Запасная графитовая шпуля<br />	Дутая дужка<br />	Быстро складываемая ручка</p>";"950";"katushka-teben-tnr200";"no-img.jpg";"CN52";"-1";"1";"Купить Катушка Teben TNR200 у нас в интернет-магазине YURAN по низкой цене и доставкой в любые регионы";"Катушка Teben TNR200 купить, CN52, Катушка, Teben, TNR200";"Безынерционная спиннинговая катушка Teben с алюминиевой шпулей и задним фрикционом. Корпус катушки выполнен из легкого, устойчивого ко внешним воздействиям ударопрочного графитового полимера с напылением из титана";;"0";"0";"55";0;"";2;;RUR;"Фрикцион=[type=assortmentCheckBox value=Задний product_margin=Задний|Передний]";52;
"Катушки/Безынерционные";"bobbins/instantaneous";"Катушка Globe CT200A 1BB";;"<strong>Производитель</strong>: Globe<br /><strong>Подшипников</strong>: 1<br /><strong>Фрикцион</strong>: передний<br /><strong>Передаточное число</strong>: 5.5<br /><strong>Размер шпули</strong>: 2000<br /><strong>Материал основной шпули</strong>: алюминий";"270";"katushka-globe-ct200a-1bb";"no-img.jpg";"CN51";"-1";"1";"Купить Катушка Globe CT200A 1BB у нас в интернет-магазине YURAN по низкой цене и доставкой в любые регионы";"Катушка Globe CT200A 1BB купить, CN51, Катушка, Globe, CT200A, 1BB";"Производитель: Globe Подшипников: 1 Фрикцион: передний Передаточное число: 5.5Размер шпули: 2000 Материал основной шпули: алюминий";;"0";"1";"54";0,175;"";2;;RUR;"Фрикцион=[type=assortmentCheckBox value=Передний product_margin=Задний|Передний]";51;
"Катушки/Безынерционные";"bobbins/instantaneous";"Катушка Globe CT200 3BB";;"<strong>Производитель</strong>: Globe<br /><strong>Подшипников</strong>: 3<br /><strong>Фрикцион</strong>: передний<br /><strong>Передаточное число</strong>: 5.5<br /><strong>Размер шпули</strong>: 2000<br /><strong>Материал катушки</strong>: графит<br /><strong>Материал основной шпули</strong>: пластик";"200";"katushka-globe-ct200-3bb";"no-img.jpg";"CN50";"-1";"1";"Купить Катушка Globe CT200 3BB у нас в интернет-магазине YURAN по низкой цене и доставкой в любые регионы";"Катушка Globe CT200 3BB купить, CN50, Катушка, Globe, CT200, 3BB";"Тип: безынерционная; Подшипников: 3; Фрикцион: передний; Передаточное число: 5.5; Размер шпули: 2000; Материал катушки: графит; Материал основной шпули: пластик; Вес: 145;";;"0";"0";"53";0,145;"";2;;RUR;"Фрикцион=[type=assortmentCheckBox value=Передний product_margin=Задний|Передний]";50;
"Катушки/Безынерционные";"bobbins/instantaneous";"Катушка Teben Carp Pro COR 600";;"<p>	<strong>Катушка Teben Carp Pro COR 600</strong>&nbsp;- одна из лучших безынерционных катушек с бейтраннером в своем ценовом сегменте. Плавный ход, система мгновенной блокировки обратного хода, фрикционные тормоза, передний и задний, прекрасно отрегулированы.</p><p>	Teben&nbsp;Carp Pro&nbsp;Cor 300, 400 подходит для фидера, Cor 500 и 600 - карповые катушки.</p>";"1150";"katushka-teben-carp-pro-cor-600";"no-img.jpg";"CN49";"-1";"1";"Купить Катушка Teben Carp Pro COR 600 у нас в интернет-магазине YURAN по низкой цене и доставкой в любые регионы";"Катушка Teben Carp Pro COR 600 купить, CN49, Катушка, Teben, Carp, Pro COR, 600";"Катушка Teben Carp Pro COR 600- одна из лучших безынерционных катушек с бейтраннером в своем ценовом сегменте. Плавный ход, система мгновенной блокировки обратного хода, фрикционные тормоза, передний и задний, прекрасно отрегулированы";;"0";"0";"52";0;"";2;;RUR;"Фрикцион=[type=assortmentCheckBox value=Задний|Передний product_margin=Задний|Передний]";49;
"Катушки/Безынерционные";"bobbins/instantaneous";"Катушка Teben Carp Pro COR 500";;"<p>	<strong>Катушка Teben Carp Pro COR 500&nbsp;</strong>- одна из лучших безынерционных катушек с бейтраннером в своем ценовом сегменте. Плавный ход, система мгновенной блокировки обратного хода, фрикционные тормоза, передний и задний, прекрасно отрегулированы.</p><p>	Teben&nbsp;Carp Pro&nbsp;Cor 300, 400 подходит для фидера, Cor 500 и 600 - карповые катушки.</p>";"1120";"katushka-teben-carp-pro-cor-500";"no-img.jpg";"CN48";"-1";"1";"Купить Катушка Teben Carp Pro COR 500 у нас в интернет-магазине YURAN по низкой цене и доставкой в любые регионы";"Катушка Teben Carp Pro COR 500 купить, CN48, Катушка, Teben, Carp, Pro COR, 500";"Катушка Teben Carp Pro COR 500- одна из лучших безынерционных катушек с бейтраннером в своем ценовом сегменте. Плавный ход, система мгновенной блокировки обратного хода, фрикционные тормоза, передний и задний, прекрасно отрегулированы";;"0";"0";"51";0;"";2;;RUR;"Фрикцион=[type=assortmentCheckBox value=Задний|Передний product_margin=Задний|Передний]";48;
"Катушки/Безынерционные";"bobbins/instantaneous";"Катушка Teben Carp Pro COR 400";;"<p>	<strong>Катушка Teben Carp Pro COR 400</strong>&nbsp;- одна из лучших безынерционных катушек с бейтраннером в своем ценовом сегменте. Плавный ход, система мгновенной блокировки обратного хода, фрикционные тормоза, передний и задний, прекрасно отрегулированы.</p><p>	Teben&nbsp;Carp Pro&nbsp;Cor 300, 400 подходит для фидера, Cor 500 и 600 - карповые катушки.</p>";"1080";"katushka-teben-carp-pro-cor-400";"no-img.jpg";"CN47";"-1";"1";"Купить Катушка Teben Carp Pro COR 400 у нас в интернет-магазине YURAN по низкой цене и доставкой в любые регионы";"Катушка Teben Carp Pro COR 400 купить, CN47, Катушка, Teben, Carp, Pro COR, 400";"Катушка Teben Carp Pro COR 400- одна из лучших безынерционных катушек с бейтраннером в своем ценовом сегменте. Плавный ход, система мгновенной блокировки обратного хода, фрикционные тормоза, передний и задний, прекрасно отрегулированы";;"0";"0";"50";0;"";2;;RUR;"Фрикцион=[type=assortmentCheckBox value=Задний|Передний product_margin=Задний|Передний]";47;
"Катушки/Безынерционные";"bobbins/instantaneous";"Катушка Teben Carp Pro COR 300";;"<p>	Катушка Teben Carp Pro COR 300 - одна из лучших безынерционных катушек с бейтраннером в своем ценовом сегменте. Плавный ход, система мгновенной блокировки обратного хода, фрикционные тормоза, передний и задний, прекрасно отрегулированы.</p><p>	Teben&nbsp;Carp Pro&nbsp;Cor 300, 400 подходит для фидера, Cor 500 и 600 - карповые катушки.</p>";"1050";"katushka-teben-carp-pro-cor-300";"no-img.jpg";"CN46";"-1";"1";"Купить Катушка Teben Carp Pro COR 300 у нас в интернет-магазине YURAN по низкой цене и доставкой в любые регионы";"Катушка Teben Carp Pro COR 300 купить, CN46, Катушка, Teben, Carp, Pro COR, 300";"Катушка Teben Carp Pro COR 300 - одна из лучших безынерционных катушек с бейтраннером в своем ценовом сегменте. Плавный ход, система мгновенной блокировки обратного хода, фрикционные тормоза, передний и задний, прекрасно отрегулированы";;"0";"0";"49";0;"";2;;RUR;"Фрикцион=[type=assortmentCheckBox value=Задний|Передний product_margin=Задний|Передний]";46;
"Катушки/Безынерционные";"bobbins/instantaneous";"Катушка Teben TEB 300";;"<strong>COBRA CB 640А -&nbsp;</strong>катушка, имеющая пепедний фрикцион. Катушка оборудована алюминиевой шпулей.<br />Длина лески равна 0.3 - 120 мм. Катушка оборудована 7+1 подшипниками. Передаточное число равно 5,1. &nbsp;";"940";"katushka-teben-teb-300";"no-img.jpg";"CN53";"-1";"1";"Купить Катушка Teben TEB 300 у нас в интернет-магазине YURAN по низкой цене и доставкой в любые регионы";"Катушка Teben TEB 300 купить, CN45, Катушка, Teben, TEB 300";"COBRA CB 640А -катушка, имеющая пепедний фрикцион. Катушка оборудована алюминиевой шпулей. Длина лески равна 0.3 - 120 мм. Катушка оборудована 7+1 подшипниками";;"0";"0";"48";0,29;"";2;;RUR;"Фрикцион=[type=assortmentCheckBox value=Передний product_margin=Задний|Передний]";53;
"Удилища/Маховые";"fishing-rods/wave";"Удочка маховая G.STONE WALKMAN б/к 7 м";;"Отличное маховое удилище G.Stone Walkman изготовленное из графита. Покупая такое удилище вы получаете все плюсы графитового удилища, такие как легкий вес, удобство использования.<br /><br /><strong>Производитель</strong>: G.STONE<br /><strong>Длина</strong>: 7 м<br /><strong>Количество колен</strong>: 7<br /><strong>Тест</strong>: 10 - 30 гр<br /><strong>атериал</strong>: Карбон (Углепластк)<br /><strong>Конструкция</strong>: Телескопическая";"1370";"udochka-mahovaya-g-stone-walkman-b-k-7-m";"udilishche-g-stone-walkman-b-k-7-00m.png[:param:][alt=Удочка маховая G.STONE WALKMAN б/к 7 м][title=Удочка маховая G.STONE WALKMAN б/к 7 м]";"CN38";"-1";"1";"Купить Удочка маховая G.STONE WALKMAN б/к 7 м у нас в интернет-магазине YURAN по низкой цене и доставкой в любые регионы";"Удочка маховая G.STONE WALKMAN б/к 7 м купить, CN38, Удочка, маховая, G.STONE, WALKMAN, б/к 7, м";"Отличное маховое удилище G.Stone Walkman изготовленное из графита. Покупая такое удилище вы получаете все плюсы графитового удилища, такие как легкий вес, удобство использования";;"0";"0";"47";0;"";1;;RUR;"Характеристики=[type=textarea value=<table border=""1"" cellpadding=""5"" cellspacing=""1"" style=""width: 100%;""><br/>	<thead><br/>		<tr><br/>			<th scope=""col""><br/>				<span style=""font-size:18px;"">Производитель</span><br/>			</th><br/>			<th scope=""col""><br/>				<span style=""font-size:18px;"">Длина</span><br/>			</th><br/>			<th scope=""col""><br/>				<span style=""font-size:18px;"">Количество колен</span><br/>			</th><br/>			<th scope=""col""><br/>				<span style=""font-size:18px;"">Тест</span><br/>			</th><br/>			<th scope=""col""><br/>				<span style=""font-size:18px;"">Материал</span><br/>			</th><br/>			<th scope=""col""><br/>				<span style=""font-size:18px;"">Конструкция</span><br/>			</th><br/>		</tr><br/>	</thead><br/>	<tbody><br/>		<tr><br/>			<td style=""text-align: center;""><br/>				<span style=""font-size:16px;"">G.STONE</span><br/>			</td><br/>			<td style=""text-align: center;""><br/>				<span style=""font-size:16px;"">7 м</span><br/>			</td><br/>			<td style=""text-align: center;""><br/>				<span style=""font-size: 16px; line-height: 25.6px;"">7</span><br/>			</td><br/>			<td style=""text-align: center;""><br/>				<span style=""font-size:16px;"">10 - 30 гр&amp;nbsp;</span><br/>			</td><br/>			<td style=""text-align: center;""><br/>				<span style=""font-size: 16px; line-height: 25.6px;"">Карбон</span><br/>			</td><br/>			<td style=""text-align: center;""><br/>				<span style=""font-size:16px;"">Телескопическая</span><br/>			</td><br/>		</tr><br/>	</tbody><br/></table><br/> product_margin=]&Бренд=[type=assortmentCheckBox value=G-STONE product_margin=OKUMA|LINE WINDER|TRABUCCO|MIKADO|G-STONE|GLOBE|LIBAO]";38;
"Удилища/Маховые";"fishing-rods/wave";"Удочка маховая G.STONE WALKMAN б/к 6 м";;"Отличное маховое удилище G.Stone Walkman изготовленное из графита. Покупая такое удилище вы получаете все плюсы графитового удилища, такие как легкий вес, удобство использования.<br /><br /><strong>Производитель</strong>: G.STONE<br /><strong>Длина</strong>: 6 м<br /><strong>Количество колен</strong>: 6<br /><strong>Тест</strong>: 10 - 30 гр<br /><strong>атериал</strong>: Карбон (Углепластк)<br /><strong>Конструкция</strong>: Телескопическая";"1100";"udochka-mahovaya-g-stone-walkman-b-k-6-m";"udilishche-g-stone-walkman-b-k-6-00m.png";"CN37";"-1";"1";"Купить Удочка маховая G.STONE WALKMAN б/к 6 м у нас в интернет-магазине YURAN по низкой цене и доставкой в любые регионы";"Удочка маховая G.STONE WALKMAN б/к 6 м купить, CN37, Удочка, маховая, G.STONE, WALKMAN, б/к 6, м";"Отличное маховое удилище G.Stone Walkman изготовленное из графита. Покупая такое удилище вы получаете все плюсы графитового удилища, такие как легкий вес, удобство использования";;"0";"0";"46";0,164;"";1;;RUR;"Характеристики=[type=textarea value=<table border=""1"" cellpadding=""5"" cellspacing=""1"" style=""width: 100%;""><br/>	<thead><br/>		<tr><br/>			<th scope=""col""><br/>				<span style=""font-size:18px;"">Производитель</span><br/>			</th><br/>			<th scope=""col""><br/>				<span style=""font-size:18px;"">Длина</span><br/>			</th><br/>			<th scope=""col""><br/>				<span style=""font-size:18px;"">Количество колен</span><br/>			</th><br/>			<th scope=""col""><br/>				<span style=""font-size:18px;"">Тест</span><br/>			</th><br/>			<th scope=""col""><br/>				<span style=""font-size:18px;"">Материал</span><br/>			</th><br/>			<th scope=""col""><br/>				<span style=""font-size:18px;"">Конструкция</span><br/>			</th><br/>		</tr><br/>	</thead><br/>	<tbody><br/>		<tr><br/>			<td style=""text-align: center;""><br/>				<span style=""font-size:16px;"">G.STONE</span><br/>			</td><br/>			<td style=""text-align: center;""><br/>				<span style=""font-size:16px;"">6 м</span><br/>			</td><br/>			<td style=""text-align: center;""><br/>				<span style=""font-size: 16px; line-height: 25.6px;"">6</span><br/>			</td><br/>			<td style=""text-align: center;""><br/>				<span style=""font-size:16px;"">10 - 30 гр&amp;nbsp;</span><br/>			</td><br/>			<td style=""text-align: center;""><br/>				<span style=""font-size: 16px; line-height: 25.6px;"">Карбон</span><br/>			</td><br/>			<td style=""text-align: center;""><br/>				<span style=""font-size:16px;"">Телескопическая</span><br/>			</td><br/>		</tr><br/>	</tbody><br/></table><br/> product_margin=]&Бренд=[type=assortmentCheckBox value=G-STONE product_margin=OKUMA|LINE WINDER|TRABUCCO|MIKADO|G-STONE|GLOBE|LIBAO]";37;
"Удилища/Маховые";"fishing-rods/wave";"Удочка маховая G.STONE WALKMAN б/к 5 м";;"Отличное маховое удилище G.Stone Walkman изготовленное из графита. Покупая такое удилище вы получаете все плюсы графитового удилища, такие как легкий вес, удобство использования.<br /><br /><strong>Производитель</strong>: G.STONE<br /><strong>Длина</strong>: 5 м<br /><strong>Количество колен</strong>: 5<br /><strong>Тест</strong>: 10 - 30 гр<br /><strong>атериал</strong>: Карбон (Углепластк)<br /><strong>Конструкция</strong>: Телескопическая";"890";"udochka-mahovaya-g-stone-walkman-b-k-5-m";"udilishche-g-stone-walkman-b-k-5-00m.png";"CN36";"-1";"1";"Купить Удочка маховая G.STONE WALKMAN б/к 5 м у нас в интернет-магазине YURAN по низкой цене и доставкой в любые регионы";"Удочка маховая G.STONE WALKMAN б/к 5 м купить, CN36, Удочка, маховая, G.STONE, WALKMAN, б/к 5, м";"Отличное маховое удилище G.Stone Walkman изготовленное из графита. Покупая такое удилище вы получаете все плюсы графитового удилища, такие как легкий вес, удобство использования";;"0";"0";"44";0,188;"";1;;RUR;"Характеристики=[type=textarea value=<table border=""1"" cellpadding=""5"" cellspacing=""1"" style=""width: 100%;""><br/>	<thead><br/>		<tr><br/>			<th scope=""col""><br/>				<span style=""font-size:18px;"">Производитель</span><br/>			</th><br/>			<th scope=""col""><br/>				<span style=""font-size:18px;"">Длина</span><br/>			</th><br/>			<th scope=""col""><br/>				<span style=""font-size:18px;"">Количество колен</span><br/>			</th><br/>			<th scope=""col""><br/>				<span style=""font-size:18px;"">Тест</span><br/>			</th><br/>			<th scope=""col""><br/>				<span style=""font-size:18px;"">Материал</span><br/>			</th><br/>			<th scope=""col""><br/>				<span style=""font-size:18px;"">Конструкция</span><br/>			</th><br/>		</tr><br/>	</thead><br/>	<tbody><br/>		<tr><br/>			<td style=""text-align: center;""><br/>				<span style=""font-size:16px;"">G.STONE</span><br/>			</td><br/>			<td style=""text-align: center;""><br/>				<span style=""font-size:16px;"">5 м</span><br/>			</td><br/>			<td style=""text-align: center;""><br/>				<span style=""font-size: 16px; line-height: 25.6px;"">5</span><br/>			</td><br/>			<td style=""text-align: center;""><br/>				<span style=""font-size:16px;"">10 - 30 гр&amp;nbsp;</span><br/>			</td><br/>			<td style=""text-align: center;""><br/>				<span style=""font-size: 16px; line-height: 25.6px;"">Карбон</span><br/>			</td><br/>			<td style=""text-align: center;""><br/>				<span style=""font-size:16px;"">Телескопическая</span><br/>			</td><br/>		</tr><br/>	</tbody><br/></table><br/> product_margin=]&Бренд=[type=assortmentCheckBox value=G-STONE product_margin=OKUMA|LINE WINDER|TRABUCCO|MIKADO|G-STONE|GLOBE|LIBAO]";36;
"Удилища/Маховые";"fishing-rods/wave";"Удочка маховая G.STONE WALKMAN с/к 6 м";;"Отличное маховое удилище G.Stone Walkman изготовленное из графита. Покупая такое удилище вы получаете все плюсы графитового удилища, такие как легкий вес, удобство использования.<br /><br /><strong>Производитель</strong>: G.STONE<br /><strong>Длина</strong>: 6 м<br /><strong>Количество колен</strong>: 6<br /><strong>Тест</strong>: 10 - 30 гр<br /><strong>атериал</strong>: Карбон (Углепластк)<br /><strong>Конструкция</strong>: Телескопическая";"1250";"udochka-mahovaya-g-stone-walkman-s-k-6-m";"udilishche-g-stone-walkman-s-k-6-00m.png";"CN35";"-1";"1";"Купить Удочка маховая G.STONE WALKMAN с/к 6 м у нас в интернет-магазине YURAN по низкой цене и доставкой в любые регионы";"Удочка маховая G.STONE WALKMAN с/к 6 м купить, CN35, Удочка, маховая, G.STONE, WALKMAN, с/к 6, м";"Отличное маховое удилище G.Stone Walkman изготовленное из графита. Покупая такое удилище вы получаете все плюсы графитового удилища, такие как легкий вес, удобство использования";;"0";"0";"43";0,635;"";1;;RUR;"Характеристики=[type=textarea value=<table border=""1"" cellpadding=""5"" cellspacing=""1"" style=""width: 100%;""><br/>	<thead><br/>		<tr><br/>			<th scope=""col""><br/>				<span style=""font-size:18px;"">Производитель</span><br/>			</th><br/>			<th scope=""col""><br/>				<span style=""font-size:18px;"">Длина</span><br/>			</th><br/>			<th scope=""col""><br/>				<span style=""font-size:18px;"">Количество колен</span><br/>			</th><br/>			<th scope=""col""><br/>				<span style=""font-size:18px;"">Тест</span><br/>			</th><br/>			<th scope=""col""><br/>				<span style=""font-size:18px;"">Материал</span><br/>			</th><br/>			<th scope=""col""><br/>				<span style=""font-size:18px;"">Конструкция</span><br/>			</th><br/>		</tr><br/>	</thead><br/>	<tbody><br/>		<tr><br/>			<td style=""text-align: center;""><br/>				<span style=""font-size:16px;"">G.STONE</span><br/>			</td><br/>			<td style=""text-align: center;""><br/>				<span style=""font-size:16px;"">6 м</span><br/>			</td><br/>			<td style=""text-align: center;""><br/>				<span style=""font-size: 16px; line-height: 25.6px;"">6</span><br/>			</td><br/>			<td style=""text-align: center;""><br/>				<span style=""font-size:16px;"">10 - 30 гр&amp;nbsp;</span><br/>			</td><br/>			<td style=""text-align: center;""><br/>				<span style=""font-size: 16px; line-height: 25.6px;"">Карбон</span><br/>			</td><br/>			<td style=""text-align: center;""><br/>				<span style=""font-size:16px;"">Телескопическая</span><br/>			</td><br/>		</tr><br/>	</tbody><br/></table><br/> product_margin=]&Бренд=[type=assortmentCheckBox value=G-STONE product_margin=OKUMA|LINE WINDER|TRABUCCO|MIKADO|G-STONE|GLOBE|LIBAO]";35;
